# This file is a source file for dutycycle quantities
#
# FORMAT
# key: A string key
# latex_key (optional): A latex-macro friendly key. If empty, a key will be generated
# quantity: the numerical value
# unit: the units
# reviewed [Yes, No]: if the value has been reviewed
#
# USAGE
# To read the csv file in with pandas, you can use:
# df = pd.read_csv("dutycycle_quantities.csv", header=0, comment="#", skipinitialspace=True)

# Column names
key, latex_key, value, unit, reviewed
o3_duration_h_any, OthreeDurationHAny, 245.2068287037037, day, Yes
o3_duration_h_any_fraction, OthreeDurationHAnyFraction, 67.90865322973562, percent, Yes
o3_duration_l_any, OthreeDurationLAny, 251.9328125, day, Yes
o3_duration_l_any_fraction, OthreeDurationLAnyFraction, 69.77137664435726, percent, Yes
o3_duration_v_any, OthreeDurationVAny, 250.34879629629629, day, Yes
o3_duration_v_any_fraction, OthreeDurationVAnyFraction, 69.33269225837886, percent, Yes
o3_duration_none, OthreeDurationNone, 42.059872685185184, day, Yes
o3_duration_none_fraction, OthreeDurationNoneFraction, 11.648245377849578, percent, Yes
o3_duration_h, OthreeDurationH, 10.106608796296296, day, Yes
o3_duration_h_fraction, OthreeDurationHFraction, 2.7989685103982356, percent, Yes
o3_duration_l, OthreeDurationL, 9.700381944444445, day, Yes
o3_duration_l_fraction, OthreeDurationLFraction, 2.686466266635895, percent, Yes
o3_duration_v, OthreeDurationV, 25.040046296296296, day, Yes
o3_duration_v_fraction, OthreeDurationVFraction, 6.934700105136293, percent, Yes
o3_duration_hl, OthreeDurationHL, 48.86767361111111, day, Yes
o3_duration_hl_fraction, OthreeDurationHLFraction, 13.533627586737442, percent, Yes
o3_duration_hv, OthreeDurationHV, 31.943993055555556, day, Yes
o3_duration_hv_fraction, OthreeDurationHVFraction, 8.846709362258636, percent, Yes
o3_duration_lv, OthreeDurationLV, 39.076203703703705, day, Yes
o3_duration_lv_fraction, OthreeDurationLVFraction, 10.821935020642613, percent, Yes
o3_duration_hlv, OthreeDurationHLV, 154.28855324074075, day, Yes
o3_duration_hlv_fraction, OthreeDurationHLVFraction, 42.729347770341306, percent, Yes

o3gk_duration, OthreeGKDuration, 13.666666666666666, day, Yes
o3gk_duration_any_one, OthreeGKDurationAnyOne, 11.770173611111112, day, Yes
o3gk_duration_any_one_fraction, OthreeGKDurationAnyOneFraction, 86.12322154471545, percent, Yes
o3gk_duration_any_two, OthreeGKDurationAnyTwo, 6.380150462962963, day, Yes
o3gk_duration_any_two_fraction, OthreeGKDurationAnyTwoFraction, 46.68402777777778, percent, Yes
o3gk_duration_g_any, OthreeGKDurationGAny, 10.881168981481482, day, Yes
o3gk_duration_g_any_fraction, OthreeGKDurationGAnyFraction, 79.61830962059621, percent, Yes
o3gk_duration_k_any, OthreeGKDurationKAny, 7.269155092592593, day, Yes
o3gk_duration_k_any_fraction, OthreeGKDurationKAnyFraction, 53.18893970189702, percent, Yes
o3gk_duration_none, OthreeGKDurationNone, 1.8964930555555555, day, Yes
o3gk_duration_none_fraction, OthreeGKDurationNoneFraction, 13.876778455284553, percent, Yes
o3gk_duration_g, OthreeGKDurationG, 4.501018518518518, day, Yes
o3gk_duration_g_fraction, OthreeGKDurationGFraction, 32.93428184281843, percent, Yes
o3gk_duration_k, OthreeGKDurationK, 0.8890046296296297, day, Yes
o3gk_duration_k_fraction, OthreeGKDurationKFraction, 6.5049119241192415, percent, Yes
o3gk_duration_gk, OthreeGKDurationGK, 6.380150462962963, day, Yes
o3gk_duration_gk_fraction, OthreeGKDurationGKFraction, 46.68402777777778, percent, Yes

o3a_duration, OthreeaDuration, 183.0, day, Yes
o3a_duration_any_one, OthreeaDurationAnyOne, 177.14966435185184, day, Yes
o3a_duration_any_one_fraction, OthreeaDurationAnyOneFraction, 96.80309527423599, percent, Yes
o3a_duration_any_two, OthreeaDurationAnyTwo, 149.57175925925927, day, Yes
o3a_duration_any_two_fraction, OthreeaDurationAnyTwoFraction, 81.73320178101599, percent, Yes
